SUKL kod;Celkova cena;Datum zmeny;Zdroj
0836B;82.97;15.10.2024;mzsr
08396;1.08;15.10.2024;mzsr
08397;3.24;15.10.2024;mzsr
08399;4.59;15.10.2024;mzsr
08400;1.71;15.10.2024;mzsr
08401;5.13;15.10.2024;mzsr
08402;2.16;15.10.2024;mzsr
08404;6.48;15.10.2024;mzsr
0844E;8.12;15.10.2024;mzsr
08463;1.62;15.10.2024;mzsr
08465;5.40;15.10.2024;mzsr
08468;230.95;15.10.2024;mzsr
0849E;28.41;15.10.2024;mzsr
08557;2.99;15.10.2024;mzsr
0855D;13.98;15.10.2024;mzsr
0855E;2175.85;03.01.2025;mzsr
0858E;17.75;15.10.2024;mzsr
0860C;15.53;15.10.2024;mzsr
0860E;62.12;15.10.2024;mzsr
0863C;61.03;15.10.2024;mzsr
0863D;102.06;15.10.2024;mzsr
0863E;10.47;15.10.2024;mzsr
0864D;408.24;15.10.2024;mzsr
0865E;36.65;15.10.2024;mzsr
08662;603.41;15.10.2024;mzsr
0869E;10.47;15.10.2024;mzsr
0872B;136.66;15.10.2024;mzsr
0872D;40.89;15.10.2024;mzsr
08733;4.05;15.10.2024;mzsr
08737;12.15;15.10.2024;mzsr
0873E;36.65;15.10.2024;mzsr
0874D;40.89;15.10.2024;mzsr
08756;4.50;15.10.2024;mzsr
08762;13.50;15.10.2024;mzsr
08769;7.56;15.10.2024;mzsr
0876D;25.32;15.10.2024;mzsr
08770;15.37;15.10.2024;mzsr
08774;3.36;15.10.2024;mzsr
08777;10.08;15.10.2024;mzsr
0877A;2.46;15.10.2024;mzsr
0878D;25.32;15.10.2024;mzsr
08791;2.91;15.10.2024;mzsr
08798;8.73;15.10.2024;mzsr
0880D;25.23;15.10.2024;mzsr
08811;8.76;15.10.2024;mzsr
08843;2.59;15.10.2024;mzsr
0890D;11403.81;15.10.2024;mzsr
0891D;11403.81;15.10.2024;mzsr
0892C;6.20;15.10.2024;mzsr
0893C;9.30;15.10.2024;mzsr
0895E;30.89;15.10.2024;mzsr
08962;14.51;15.10.2024;mzsr
0896E;123.55;15.10.2024;mzsr
0901D;6.12;15.10.2024;mzsr
0902D;20.40;15.10.2024;mzsr
0904D;6.96;15.10.2024;mzsr
0905D;23.20;15.10.2024;mzsr
0906C;7.45;15.10.2024;mzsr
0907C;11.17;15.10.2024;mzsr
0908B;1.12;15.10.2024;mzsr
09113;3.27;15.10.2024;mzsr
0914B;3.92;15.10.2024;mzsr
09201;2.16;15.10.2024;mzsr
09205;3.48;15.10.2024;mzsr
0920C;14.90;15.10.2024;mzsr
09241;8.04;15.10.2024;mzsr
0925D;18.00;15.10.2024;mzsr
09292;11.76;15.10.2024;mzsr
09305;1.92;15.10.2024;mzsr
09317;34.38;15.10.2024;mzsr
09329;13.66;15.10.2024;mzsr
09337;109.10;15.10.2024;mzsr
09502;232.22;15.10.2024;mzsr
09504;149.76;15.10.2024;mzsr
09505;499.22;15.10.2024;mzsr
09510;5.36;15.10.2024;mzsr
09530;3.57;15.10.2024;mzsr
0955D;266.44;15.10.2024;mzsr
09565;13.71;15.10.2024;mzsr
0957B;1.29;15.10.2024;mzsr
0957C;5.28;15.10.2024;mzsr
0961B;3.87;15.10.2024;mzsr
0963B;1.74;15.10.2024;mzsr
0963C;17.25;15.10.2024;mzsr
0963D;23.97;15.10.2024;mzsr
0969B;1.89;15.10.2024;mzsr
0975C;2853.86;15.10.2024;mzsr
0976E;17.20;15.10.2024;mzsr
09783;2.23;15.10.2024;mzsr
09844;5.12;15.10.2024;mzsr
09866;9.12;15.10.2024;mzsr
0987D;507.20;15.10.2024;mzsr
0990D;760.74;15.10.2024;mzsr
0992B;7.61;15.10.2024;mzsr
0997D;692.33;15.10.2024;mzsr
0999B;13.44;15.10.2024;mzsr
1010D;21.81;15.10.2024;mzsr
10158;16.17;15.10.2024;mzsr
1016E;10.47;15.10.2024;mzsr
10183;16.80;15.10.2024;mzsr
10184;30.84;15.10.2024;mzsr
10185;51.19;15.10.2024;mzsr
10204;5.07;15.10.2024;mzsr
1020E;36.65;15.10.2024;mzsr
1030A;2.45;15.10.2024;mzsr
1035A;4.89;15.10.2024;mzsr
10378;8.07;15.10.2024;mzsr
10381;2.44;15.10.2024;mzsr
10382;1.76;15.10.2024;mzsr
10388;5.60;15.10.2024;mzsr
10406;2.10;15.10.2024;mzsr
10415;2.80;15.10.2024;mzsr
10419;9.00;15.10.2024;mzsr
10455;2.10;15.10.2024;mzsr
10458;4.20;15.10.2024;mzsr
1045D;21.33;15.10.2024;mzsr
10460;14.00;15.10.2024;mzsr
10462;11.86;15.10.2024;mzsr
10463;15.81;15.10.2024;mzsr
1046A;2.45;15.10.2024;mzsr
10474;3.78;15.10.2024;mzsr
10479;12.35;15.10.2024;mzsr
1048A;4.08;15.10.2024;mzsr
10496;7.35;15.10.2024;mzsr
10510;3.00;15.10.2024;mzsr
10517;9.80;15.10.2024;mzsr
10533;6.00;15.10.2024;mzsr
10538;19.60;15.10.2024;mzsr
1055C;8.81;15.10.2024;mzsr
1059D;39.95;15.10.2024;mzsr
1064E;8.81;15.10.2024;mzsr
10672;113.18;15.10.2024;mzsr
